,Month,Year,County,Arithmetic_Mean_ppb
1420,5,2011,Calaveras,0.9610870194557597
1421,5,2011,Colusa,0.5782116511217064
1422,5,2011,Contra Costa,0.4481887955064752
1423,5,2011,El Dorado,0.7667035759493763
1424,5,2011,Fresno,0.4186155672080699
1425,5,2011,Glenn,0.9047028261681984
1426,5,2011,Humboldt,0.8751099650379841
1427,5,2011,Imperial,0.6830392259684407
1428,5,2011,Inyo,0.89496378496477
1429,5,2011,Kern,0.5919751991064723
1430,5,2011,Kings,0.6436857445967215
1431,5,2011,Lake,0.7849079918747245
1432,5,2011,Los Angeles,0.39664045129351394
1433,5,2011,Madera,0.6021224415535474
1434,5,2011,Marin,0.7928409217752191
1435,5,2011,Mariposa,1.1392810255808308
1436,5,2011,Mendocino,0.7307060067855541
1437,5,2011,Merced,0.8696815291357666
1438,5,2011,Monterey,0.5033146682383928
1439,5,2011,Napa,0.7114260620220055
1440,5,2011,Nevada,1.1482739542069982
1441,5,2011,Orange,0.4364134464242181
1442,5,2011,Placer,0.7495715151500781
1443,5,2011,Riverside,0.43033788727767347
1444,5,2011,Sacramento,0.3360751710625495
1445,5,2011,San Benito,0.6942334228927566
1446,5,2011,San Bernardino,0.6149034599471316
1447,5,2011,San Diego,0.31626157111774883
1448,5,2011,San Francisco,0.8479226272027653
1449,5,2011,San Joaquin,0.9617676645093117
1450,5,2011,San Luis Obispo,0.4741415929456325
1451,5,2011,San Mateo,0.8727968590922971
1452,5,2011,Santa Barbara,0.37252055290233876
1453,5,2011,Santa Clara,0.34903732976746127
1454,5,2011,Santa Cruz,0.5059226557598613
1455,5,2011,Shasta,0.8433006302759328
1456,5,2011,Siskiyou,0.8263391280169716
1457,5,2011,Solano,0.4124173956997526
1458,5,2011,Sonoma,0.7338664230510348
1459,5,2011,Stanislaus,0.9557736587387454
1460,5,2011,Sutter,0.6459889329784309
1461,5,2011,Tehama,0.9118954798027308
1462,5,2011,Tulare,0.6872794758042837
1463,5,2011,Tuolumne,0.7878434629385715
1464,5,2011,Ventura,0.5132918749027388
1465,5,2011,Yolo,0.48821552844525146
1466,5,2012,Alameda,0.6278143322346545
1467,5,2012,Amador,1.1962633441775945
1468,5,2012,Butte,1.2392883596334756
1469,5,2012,Calaveras,1.313378909916264
1470,5,2012,Colusa,1.0196443743901398
1471,5,2012,Contra Costa,0.577462143741353
1472,5,2012,El Dorado,0.9986279322289182
1473,5,2012,Fresno,0.5306827706299483
1474,5,2012,Glenn,1.108930186711968
1475,5,2012,Humboldt,0.6826200007472987
1476,5,2012,Imperial,0.6944459777882817
1477,5,2012,Inyo,0.8578648185844711
1478,5,2012,Kern,0.663886311157354
1479,5,2012,Kings,0.760803333727923
1480,5,2012,Lake,0.9106943226401139
1481,5,2012,Los Angeles,0.49205924585004096
1482,5,2012,Madera,0.6790925900708942
1483,5,2012,Marin,0.7874070755783373
