,Month,Year,County,Temp_Celsius,Temp_Levels
367,2,2013,Glenn,9.995039682539682,Moderate
368,2,2013,Humboldt,6.673776468253968,Moderate
369,2,2013,Imperial,14.616896369047618,Moderate
370,2,2013,Inyo,7.92785817615934,Moderate
371,2,2013,Kern,9.978715240575395,Moderate
372,2,2013,Kings,9.351779672021415,Moderate
373,2,2013,Lake,6.265914360119048,Moderate
374,2,2013,Los Angeles,12.52432512915129,Moderate
375,2,2013,Madera,8.71245003472222,Moderate
376,2,2013,Marin,9.026951031746032,Moderate
377,2,2013,Mariposa,5.45875421212121,Moderate
378,2,2013,Merced,8.752480178571428,Moderate
379,2,2013,Mono,-1.666144783950617,Low_Temp
380,2,2013,Monterey,8.839561296296294,Moderate
381,2,2013,Orange,12.851304707070714,Moderate
382,2,2013,Riverside,12.411956734934083,Moderate
383,2,2013,Sacramento,10.341731696969696,Moderate
384,2,2013,San Benito,8.05465369047619,Moderate
385,2,2013,San Bernardino,9.020754815498158,Moderate
386,2,2013,San Diego,12.237718239898994,Moderate
387,2,2013,San Joaquin,10.639880932539683,Moderate
388,2,2013,San Luis Obispo,8.26047213029576,Moderate
389,2,2013,Santa Barbara,10.835305238095234,Moderate
390,2,2013,Santa Clara,9.76367835390947,Moderate
391,2,2013,Santa Cruz,8.768755109126982,Moderate
392,2,2013,Shasta,0.18607549145299154,Moderate
393,2,2013,Stanislaus,9.269179940476189,Moderate
394,2,2013,Tulare,7.967166459854012,Moderate
395,2,2013,Tuolumne,7.24289023809524,Moderate
396,2,2013,Ventura,11.814098320105822,Moderate
397,2,2014,Del Norte,9.12199139999997,Moderate
398,2,2014,Fresno,12.487974851190463,Moderate
399,2,2014,Humboldt,8.574431872427958,Moderate
400,2,2014,Imperial,17.471537215608468,Moderate
401,2,2014,Inyo,10.585522784002471,Moderate
402,2,2014,Kern,11.628346572420611,Moderate
403,2,2014,Kings,12.378827665343895,Moderate
404,2,2014,Lake,7.69675925411521,Moderate
405,2,2014,Los Angeles,14.711463415477722,Moderate
406,2,2014,Madera,11.657029133597868,Moderate
407,2,2014,Mariposa,5.429131068376053,Moderate
408,2,2014,Merced,11.925746190476167,Moderate
409,2,2014,Mono,1.7236796707818751,Moderate
410,2,2014,Monterey,11.272533922764211,Moderate
411,2,2014,Orange,14.511946091269822,Moderate
412,2,2014,Riverside,16.370339107440742,Moderate
413,2,2014,Sacramento,12.585112297297279,Moderate
414,2,2014,San Benito,10.984409282828258,Moderate
415,2,2014,San Bernardino,12.706787111513677,Moderate
416,2,2014,San Diego,14.609728735119024,Moderate
417,2,2014,San Joaquin,12.496486606060591,Moderate
418,2,2014,San Luis Obispo,11.332001010466977,Moderate
419,2,2014,Santa Barbara,13.034010108441743,Moderate
420,2,2014,Santa Clara,12.052708789682526,Moderate
421,2,2014,Santa Cruz,10.832182439024372,Moderate
422,2,2014,Shasta,1.3710149603174435,Moderate
423,2,2014,Stanislaus,12.020118909465008,Moderate
424,2,2014,Tulare,12.15206454607044,Moderate
425,2,2014,Ventura,13.74229648148146,Moderate
426,2,2015,Fresno,13.285439246031723,Moderate
427,2,2015,Humboldt,10.693743004115207,Moderate
428,2,2015,Imperial,18.406717288359783,Moderate
429,2,2015,Inyo,12.615966039477863,Moderate
430,2,2015,Kern,13.06272758758757,Moderate
431,2,2015,Kings,13.685929216269821,Moderate
432,2,2015,Lake,9.925044067460295,Moderate
433,2,2015,Los Angeles,15.73365203042326,Moderate
434,2,2015,Madera,12.929668710317442,Moderate
435,2,2015,Mariposa,9.901851822222195,Moderate
436,2,2015,Merced,12.438822757936498,Moderate
437,2,2015,Mono,4.042781183127551,Moderate
438,2,2015,Monterey,13.084718366402093,Moderate
439,2,2015,Orange,16.908157433862417,Moderate
440,2,2015,Riverside,17.19970117450783,Moderate
441,2,2015,Sacramento,13.448238377976178,Moderate
442,2,2015,San Benito,11.947517678571414,Moderate
443,2,2015,San Bernardino,13.89357918170876,Moderate
444,2,2015,San Diego,16.21862859374998,Moderate
445,2,2015,San Joaquin,12.97867063492062,Moderate
446,2,2015,San Luis Obispo,12.210129717514103,Moderate
447,2,2015,Santa Barbara,14.431899422939043,Moderate
448,2,2015,Santa Clara,13.790024821428561,Moderate
449,2,2015,Santa Cruz,12.388888878787856,Moderate
450,2,2015,Shasta,4.062838436213978,Moderate
451,2,2015,Stanislaus,12.71825396825395,Moderate
452,2,2015,Tulare,13.419704277108416,Moderate
453,2,2015,Ventura,14.882584503968237,Moderate
454,2,2016,Amador,9.858876130268188,Moderate
455,2,2016,Butte,13.23433367063491,Moderate
456,2,2016,Calaveras,10.241698563218382,Moderate
457,2,2016,Colusa,12.94078998084289,Moderate
458,2,2016,Fresno,12.611061149425273,Moderate
459,2,2016,Glenn,12.704023007662824,Moderate
460,2,2016,Imperial,17.994440306513408,Moderate
461,2,2016,Inyo,10.783559105321189,Moderate
462,2,2016,Kern,12.703895599647252,Moderate
463,2,2016,Kings,12.357918227969325,Moderate
464,2,2016,Lake,9.355912933723175,Moderate
465,2,2016,Los Angeles,16.77805381199538,Moderate
466,2,2016,Madera,12.210069416666641,Moderate
467,2,2016,Mariposa,8.082773675213655,Moderate
468,2,2016,Merced,11.713136475095764,Moderate
469,2,2016,Mono,2.6433560721247384,Moderate
470,2,2016,Monterey,13.830353352490404,Moderate
471,2,2016,Orange,18.478085478927188,Moderate
472,2,2016,Riverside,17.831390965836526,Moderate
473,2,2016,Sacramento,13.304274688503515,Moderate
474,2,2016,San Benito,12.143199233716457,Moderate
475,2,2016,San Bernardino,14.097950292145581,Moderate
476,2,2016,San Diego,16.78738606321837,Moderate
477,2,2016,San Joaquin,13.190945896920997,Moderate
478,2,2016,San Luis Obispo,12.491836865671628,Moderate
479,2,2016,Santa Barbara,15.482940177951383,Moderate
480,2,2016,Santa Clara,13.777425515872991,Moderate
481,2,2016,Santa Cruz,12.457270419103306,Moderate
482,2,2016,Shasta,1.6974731349206245,Moderate
483,2,2016,Stanislaus,13.967807739463579,Moderate
